Te
30
29
29
29
29
30
29
29
30
30
27
27
29
29
30
29
29
28
28
29
29
29
28
30
30
30
29
30
29
25
29
27
27
30
25
25
25
25
25
26
21
27
27
27
27
27
27
27
22
28
28
27
27
28
27
27
27
27
28
28
28
26
23
23
23
25
24
25
24
27
27
25
29
29
27
26
25
26
29
28
26
26
23
30
30
28
28
24
26
29
26
30
25
25
28
28
29
29
28
26
25
26
25
28
28
27
29
27
30
27
30
30
25
25
25
27
28
28
28
27
28
28
28
28
28
28
27
28
29
28
28
26
31
30
28
25
25
26
18
20
27
26
29
28
24
24
22
24
24
22
26
27
25
27
29
25
25
25
32
29
22
24
25
29
23
22
29
29
23
29
25
25
24
29
22
19
23
24
24
25
22
24
23
19
21
20
29
29
32
23
23
24
29
18
25
22
23
23
25
25
25
23
20
18
19
24
20
21
26
25
20
20
19
21
19
18
19
23
18
18
18
25
18
20
20
18
18
18
18
18
22
17
18
18
23
22
20
19
24
24
23
23
27
29
26
29
27
27
29
24
29
27
28
28
29
27
29
29
27
29
29
30
30
30
30
30
29
29
29
29
27
28
29
28
29
29
29
28
27
29
28
29
28
30
30
30
29
29
29
26
29
28
28
26
20
27
27
26
26
27
27
28
28
28
28
28
28
28
29
28
28
29
28
27
27
27
28
26
26
28
24
24
24
24
24
24
24
26
27
26
28
28
28
27
27
26
30
28
27
24
23
29
30
28
27
23
27
27
26
29
27
26
30
28
30
27
27
26
27
27
26
28
28
25
29
27
30
27
30
30
26
26
25
27
28
28
28
27
27
28
27
27
28
28
26
28
29
28
28
26
30
30
27
26
27
26
19
21
27
26
28
27
23
23
22
26
26
22
27
26
25
26
24
28
28
28
27
27
23
25
26
29
24
23
29
27
24
28
26
25
26
29
23
22
23
21
24
23
24
23
23
22
26
25
29
29
29
29
30
20
20
20
20
28
23
25
31
26
22
24
23
24
23
21
18
18
23
17
18
18
21
22
25
24
19
20
20
21
17
17
23
18
18
18
24
19
20
20
18
19
19
20
17
22
17
18
19
23
22
23
23
23
23
27
21
27
31
28
27
30
31
29
31
30
30
29
29
29
28
30
30
27
28
29
28
29
29
30
28
28
29
28
30
30
31
29
30
29
29
29
29
30
27
27
27
23
29
29
28
29
25
28
29
29
29
29
30
30
29
25
30
30
31
30
30
28
28
28
27
27
26
27
28
23
22
23
26
26
26
26
26
26
29
28
28
29
26
26
28
29
28
26
26
25
29
29
28
27
25
26
27
27
29
29
29
29
27
30
27
27
25
25
26
29
27
27
27
28
26
29
27
28
29
28
29
26
28
28
28
28
27
28
28
28
28
28
28
26
28
29
28
28
26
29
29
27
29
27
27
20
24
28
27
32
30
22
22
24
27
26
25
28
29
26
28
31
25
25
25
26
27
23
25
26
29
24
24
29
29
24
29
26
27
32
.7
18.4
19.1
19.7
20.1
17.6
22.7
17.9
18.9
19.4
23.7
22.7
23.6
23.8
23.5
23.5
27.4
21.9
27.5
31
28
27
30
31
29
31
30
30
29
29
29
28
30
30
27
28
29
28
29
29
30
28
28
29
28
30
30
31
29
30
29
29
29
29
30
27
27
27
23
29
29
28
29
25
28
29
29
29
29
30
30
29
25
30
30
31
30
30
28
28
28
27
27
26
27
28
23
22
23
26
26
26
26
26
26
29
28
28
29
26
26
28
29
28
26
26
25
29
29
28
27
25
26
27
27
29
29
29
29
27
30
27
27
25
25
26
29
27
27
27
28
26
29
27
28
29
28
29
26
28
28
28
28
27
28
28
28
28
28
28
26
28
29
28
28
26
29
29
27
29
27
27
20
24
28
27
32
30
22
22
24
27
26
25
28
29
26
28
31
25
25
25
26
27
23
25
26
29
24
24
29
29
24
29
26
27
32
