30.6,6.7,7.5
29.8,5.7,7.2
29.5,6.3,6.9
29.7,5.8,6.9
29.5,5.8,7.3
30,5.5,7.4
29.2,6.1,6.7
29.6,6.4,6.7
30,6.4,7.6
30.1,6.3,7.6
27.8,7.1,7.1
27.9,6.7,6.4
29.3,7.4,6.8
29.2,6.9,7
30,6,7.5
29,7.3,7
29.1,7.3,7
28.7,7,6.9
28.7,7.3,6.7
29.5,5.3,6.8
29,6.3,6.4
29.4,5.4,7.6
28.3,2.2,6.5
30.1,5.2,7.1
30.3,5.6,7.5
30.5,5.5,7.4
29.1,7.3,6.7
30.1,6.5,7.5
29.2,7.2,6.3
25.1,6.6,7.8
29.6,6.9,7.9
27.4,6.8,7.7
27.8,6.7,7.8
30.6,5.1,7.3
25,5.6,7.9
25,6.4,7.6
25,5.5,7.4
25.3,5.3,7.7
25.1,6.7,7.6
26.1,3.6,7.4
21.4,7.2,7.7
27.4,5.9,7.4
27.1,5.4,7.5
27.2,5.8,7.3
27.3,5.9,7.4
27,6,7.3
27.2,6.1,7.3
27,5.9,7.4
22.6,6.3,7.8
28.4,6.7,7.3
28,6.8,7.2
27.6,6.8,7.3
27.9,6.9,7.3
28.1,6.9,7.3
27.1,6.8,7.9
27.6,6.6,8.1
27.3,6.7,8
27.8,6.7,7.8
28,5.9,7.7
28.1,6.3,7.6
28.6,6.6,7.6
26.9,6.8,7.7
23,7.1,7.4
23,7,7.4
23,7.2,7.2
25.1,6.7,7.5
24.6,5.8,7.4
25.7,6.6,7.5
24.8,6.7,7.5
27.3,6.7,6.9
27.5,6.5,6.7
25.2,6.3,6.9
29.9,7,7.4
29.8,6.6,7.7
27.8,6.9,6.9
26.7,7,7.5
25.8,6.7,7.4
26.4,7.2,7.4
29.8,7.5,7.2
28.6,3,6.6
26.9,5.9,7.4
26,6.7,7.5
23.6,6.1,7.4
30.3,6.7,6.9
30.7,6.9,6.8
28.7,2.1,6.8
28.2,2.5,6.9
24.8,7.2,7.6
26.3,3.7,7.7
29.2,6.1,7.6
26.6,6.7,7.6
30.4,7.6,7.1
25.5,1.9,7.7
25.1,7.4,7
28.9,6.4,7.2
28.8,5.4,6.7
29.3,5.6,7.3
29.5,7.1,8
28.4,5.9,6.8
26.9,7.4,6.9
25.8,7.2,7.2
26.6,6.5,7.4
25.3,6.8,7.1
28.2,6.8,6.9
28.5,6.6,7
27.6,6.4,7.7
29,7.3,6.9
27.5,6.8,6.6
30,5.6,7.2
27.8,6.9,6.8
30.2,7.1,6.8
30.8,6.2,7.2
25.3,6.7,7.1
25.3,7.2,7
25.8,6,7.6
27.2,5.2,6.8
28.1,4.8,6.8
28.3,3.9,6.9
28.1,5,6.9
27.7,7,7
28,6.3,6.9
28.2,6.2,6.9
28,5.7,6.8
28.1,5.7,6.9
28.1,6.6,7.1
28.1,6.6,7
27.3,6.5,6.5
28.3,6.7,6.3
29.1,4.3,7.2
28.7,4.6,6.7
28.5,7.7,6.9
